2025-04-11 09:47:57: Log started 
2025-04-11 09:51:00: SELL CALL (Cross DOWN) — Entry: 274.95, SL: 288.7, TP: 247.45
2025-04-11 09:51:00: Active SELL — CALL, LTP: 274.95, SL: 288.7, TP: 247.45
2025-04-11 09:51:00: Active SELL — CALL, LTP: 274.95, SL: 288.7, TP: 247.45
2025-04-11 09:51:00: Active SELL — CALL, LTP: 274.95, SL: 288.7, TP: 247.45
2025-04-11 09:51:01: Active SELL — CALL, LTP: 274.95, SL: 288.7, TP: 247.45
2025-04-11 09:52:00: Active SELL — CALL, LTP: 275.9, SL: 288.7, TP: 247.45
2025-04-11 09:52:00: Active SELL — CALL, LTP: 275.9, SL: 288.7, TP: 247.45
2025-04-11 09:52:00: Active SELL — CALL, LTP: 275.9, SL: 288.7, TP: 247.45
2025-04-11 09:52:00: Active SELL — CALL, LTP: 275.9, SL: 288.7, TP: 247.45
2025-04-11 09:52:01: Active SELL — CALL, LTP: 275.9, SL: 288.7, TP: 247.45
2025-04-11 09:53:00: Active SELL — CALL, LTP: 274.6, SL: 288.7, TP: 247.45
2025-04-11 09:53:00: Active SELL — CALL, LTP: 274.6, SL: 288.7, TP: 247.45
2025-04-11 09:53:00: Active SELL — CALL, LTP: 274.6, SL: 288.7, TP: 247.45
2025-04-11 09:53:00: Active SELL — CALL, LTP: 274.6, SL: 288.7, TP: 247.45
2025-04-11 09:53:01: Active SELL — CALL, LTP: 274.6, SL: 288.7, TP: 247.45
2025-04-11 09:54:00: Active SELL — CALL, LTP: 277.15, SL: 288.7, TP: 247.45
2025-04-11 09:54:00: Active SELL — CALL, LTP: 277.15, SL: 288.7, TP: 247.45
2025-04-11 09:54:00: Active SELL — CALL, LTP: 277.15, SL: 288.7, TP: 247.45
2025-04-11 09:54:00: Active SELL — CALL, LTP: 277.15, SL: 288.7, TP: 247.45
2025-04-11 09:54:00: Active SELL — CALL, LTP: 277.15, SL: 288.7, TP: 247.45
2025-04-11 09:54:01: Active SELL — CALL, LTP: 277.15, SL: 288.7, TP: 247.45
2025-04-11 09:55:00: Active SELL — CALL, LTP: 278.45, SL: 288.7, TP: 247.45
2025-04-11 09:55:00: Active SELL — CALL, LTP: 278.45, SL: 288.7, TP: 247.45
2025-04-11 09:55:00: Active SELL — CALL, LTP: 278.45, SL: 288.7, TP: 247.45
2025-04-11 09:55:01: Active SELL — CALL, LTP: 278.45, SL: 288.7, TP: 247.45
2025-04-11 09:56:00: Active SELL — CALL, LTP: 276.05, SL: 288.7, TP: 247.45
2025-04-11 09:56:00: Active SELL — CALL, LTP: 276.05, SL: 288.7, TP: 247.45
2025-04-11 09:56:00: Active SELL — CALL, LTP: 276.05, SL: 288.7, TP: 247.45
2025-04-11 09:56:00: Active SELL — CALL, LTP: 276.05, SL: 288.7, TP: 247.45
2025-04-11 09:56:01: Active SELL — CALL, LTP: 276.05, SL: 288.7, TP: 247.45
2025-04-11 09:57:00: Active SELL — CALL, LTP: 281.1, SL: 288.7, TP: 247.45
2025-04-11 09:57:00: Active SELL — CALL, LTP: 281.1, SL: 288.7, TP: 247.45
2025-04-11 09:57:00: Active SELL — CALL, LTP: 281.1, SL: 288.7, TP: 247.45
2025-04-11 09:57:00: Active SELL — CALL, LTP: 281.1, SL: 288.7, TP: 247.45
2025-04-11 09:57:01: Active SELL — CALL, LTP: 281.1, SL: 288.7, TP: 247.45
2025-04-11 09:58:00: Active SELL — CALL, LTP: 273.45, SL: 288.7, TP: 247.45
2025-04-11 09:58:00: Active SELL — CALL, LTP: 273.45, SL: 288.7, TP: 247.45
2025-04-11 09:58:00: Active SELL — CALL, LTP: 273.45, SL: 288.7, TP: 247.45
2025-04-11 09:58:00: Active SELL — CALL, LTP: 273.45, SL: 288.7, TP: 247.45
2025-04-11 09:58:01: Active SELL — CALL, LTP: 273.45, SL: 288.7, TP: 247.45
2025-04-11 09:59:00: Active SELL — CALL, LTP: 260.95, SL: 288.7, TP: 247.45
2025-04-11 09:59:00: Active SELL — CALL, LTP: 260.95, SL: 288.7, TP: 247.45
2025-04-11 09:59:00: Active SELL — CALL, LTP: 260.95, SL: 288.7, TP: 247.45
2025-04-11 09:59:01: Active SELL — CALL, LTP: 260.95, SL: 288.7, TP: 247.45
2025-04-11 10:00:00: Active SELL — CALL, LTP: 258.55, SL: 288.7, TP: 247.45
2025-04-11 10:00:00: Active SELL — CALL, LTP: 258.55, SL: 288.7, TP: 247.45
2025-04-11 10:00:00: Active SELL — CALL, LTP: 258.55, SL: 288.7, TP: 247.45
